iter	Passed	Remaining
428	3657	4868
429	3664	4857
430	3675	4852
431	3679	4838
432	3689	4830
433	3693	4817
434	3704	4812
435	3713	4803
436	3722	4796
437	3730	4786
438	3743	4783
439	3749	4772
440	3755	4760
441	3758	4744
442	3765	4734
443	3769	4720
444	3774	4707
445	3789	4707
446	3794	4694
447	3827	4716
448	3834	4706
449	3840	4693
450	3851	4687
451	3856	4674
452	3872	4676
453	3884	4671
454	3895	4665
455	3901	4654
456	3912	4648
457	3916	4635
458	3926	4627
459	3932	4616
460	3940	4607
461	3947	4596
462	3953	4584
463	3965	4580
464	3975	4573
465	3979	4560
466	3984	4547
467	3994	4540
468	3998	4527
469	4007	4519
470	4012	4507
471	4021	4498
472	4027	4486
473	4032	4474
474	4038	4463
475	4044	4451
476	4054	4445
477	4058	4432
478	4064	4421
479	4071	4411
480	4077	4399
481	4082	4387
482	4092	4380
483	4107	4379
484	4120	4375
485	4124	4362
486	4129	4349
487	4147	4351
488	4156	4343
489	4166	4337
490	4173	4326
491	4185	4321
492	4192	4311
493	4204	4306
494	4212	4297
495	4219	4288
496	4238	4289
497	4249	4283
498	4254	4271
499	4266	4266
500	4280	4263
501	4287	4253
502	4299	4248
503	4314	4245
504	4328	4242
505	4334	4231
506	4341	4221
507	4347	4210
508	4362	4208
509	4368	4197
510	4377	4188
511	4384	4179
512	4390	4168
513	4400	4160
514	4407	4150
515	4416	4142
516	4427	4136
517	4432	4124
518	4444	4118
519	4455	4112
520	4460	4101
521	4506	4126
522	4516	4119
523	4525	4111
524	4533	4101
525	4540	4091
526	4556	4089
527	4564	4080
528	4576	4075
529	4588	4069
530	4592	4056
531	4597	4044
532	4604	4034
533	4609	4022
534	4618	4013
535	4624	4003
536	4629	3991
537	4636	3981
538	4641	3969
539	4651	3962
540	4655	3950
541	4660	3938
542	4667	3928
543	4672	3916
544	4679	3906
545	4686	3896
546	4691	3885
547	4700	3877
548	4706	3866
549	4721	3863
550	4729	3854
551	4738	3845
552	4746	3836
553	4751	3824
554	4757	3814
555	4763	3804
556	4768	3792
557	4775	3782
558	4779	3770
559	4782	3758
560	4792	3750
561	4796	3738
562	4802	3727
563	4811	3719
564	4816	3708
565	4825	3699
566	4831	3689
567	4841	3682
568	4847	3671
569	4857	3664
570	4862	3653
571	4872	3646
572	4878	3635
573	4887	3626
574	4891	3615
575	4904	3610
576	4908	3598
577	4914	3587
578	4922	3579
579	4927	3568
580	4937	3560
581	4943	3550
582	4951	3541
583	4954	3529
584	4959	3518
585	4966	3508
586	4971	3497
587	4980	3490
588	4986	3479
589	4993	3469
590	5001	3461
591	5008	3451
592	5016	3442
593	5021	3432
594	5032	3425
595	5038	3415
596	5046	3406
597	5051	3396
598	5059	3387
599	5066	3377
600	5077	3370
601	5081	3359
602	5086	3349
603	5093	3339
604	5097	3328
605	5102	3317
606	5110	3308
607	5116	3298
608	5126	3291
609	5132	3281
610	5142	3273
611	5147	3263
612	5153	3253
613	5160	3244
614	5170	3236
615	5175	3226
616	5181	3216
617	5188	3206
618	5192	3196
619	5204	3189
620	5208	3178
621	5221	3173
622	5226	3162
623	5240	3157
624	5249	3149
625	5258	3141
626	5268	3134
627	5273	3124
628	5283	3116
629	5287	3105
630	5293	3095
631	5302	3087
632	5308	3077
633	5316	3069
634	5320	3058
635	5326	3048
636	5331	3038
637	5337	3028
638	5342	3018
639	5347	3008
640	5353	2998
641	5358	2988
642	5364	2978
643	5369	2968
644	5375	2958
645	5380	2948
646	5386	2938
647	5391	2928
648	5398	2919
649	5403	2909
650	5410	2900
651	5415	2890
652	5421	2881
653	5427	2871
654	5437	2863
655	5451	2858
656	5458	2849
657	5464	2840
658	5468	2829
659	5474	2820
660	5479	2810
661	5484	2800
662	5488	2789
663	5494	2780
664	5499	2770
665	5505	2761
666	5511	2751
667	5515	2741
668	5522	2732
669	5526	2722
670	5531	2712
671	5542	2705
672	5548	2696
673	5556	2687
674	5560	2677
675	5568	2668
676	5573	2659
677	5577	2649
678	5583	2639
679	5587	2629
680	5591	2619
681	5595	2609
682	5602	2600
683	5606	2589
684	5612	2581
685	5619	2572
686	5625	2563
687	5633	2554
688	5640	2545
689	5647	2537
690	5652	2527
691	5657	2518
692	5666	2510
693	5673	2501
694	5685	2495
695	5694	2487
696	5699	2477
697	5706	2468
698	5713	2460
699	5718	2450
700	5725	2441
701	5732	2433
702	5741	2425
703	5747	2416
704	5753	2407
705	5761	2399
706	5765	2389
707	5774	2381
708	5780	2372
709	5783	2362
710	5789	2353
711	5796	2344
712	5802	2335
713	5808	2326
714	5812	2316
715	5816	2307
716	5822	2298
717	5828	2289
718	5835	2280
719	5840	2271
720	5845	2261
721	5852	2253
722	5856	2243
723	5860	2234
724	5867	2225
725	5871	2216
726	5876	2206
727	5882	2197
728	5889	2189
729	5894	2180
730	5900	2171
731	5905	2162
732	5910	2152
733	5915	2143
734	5920	2134
735	5927	2126
736	5935	2117
737	5940	2108
738	5948	2100
739	5953	2091
740	5957	2082
741	5963	2073
742	5968	2064
743	5973	2055
744	5979	2046
745	5984	2037
746	5989	2028
747	5994	2019
748	5999	2010
749	6003	2001
750	6010	1992
751	6014	1983
752	6018	1974
753	6022	1965
754	6027	1956
755	6032	1947
756	6037	1938
757	6043	1929
758	6050	1921
759	6057	1912
760	6062	1904
761	6066	1894
762	6073	1886
763	6079	1878
764	6085	1869
765	6091	1860
766	6098	1852
767	6107	1845
768	6114	1836
769	6122	1828
770	6127	1820
771	6132	1811
772	6138	1802
773	6144	1794
774	6150	1785
775	6154	1776
776	6157	1767
777	6163	1758
778	6167	1749
779	6171	1740
780	6175	1731
781	6179	1722
782	6183	1713
783	6187	1704
784	6191	1695
785	6195	1686
786	6199	1677
787	6203	1668
788	6207	1659
789	6211	1651
790	6217	1642
791	6222	1634
792	6226	1625
793	6231	1616
794	6236	1608
795	6240	1599
796	6245	1590
797	6250	1582
798	6256	1574
799	6262	1565
800	6268	1557
801	6272	1548
802	6276	1539
803	6283	1531
804	6288	1523
805	6293	1514
806	6299	1506
807	6304	1498
808	6311	1489
809	6317	1481
810	6321	1473
811	6328	1465
812	6333	1456
813	6337	1448
814	6345	1440
815	6350	1431
816	6354	1423
817	6360	1415
818	6364	1406
819	6369	1398
820	6376	1390
821	6381	1381
822	6386	1373
823	6392	1365
824	6398	1357
825	6405	1349
826	6411	1341
827	6416	1332
828	6423	1324
829	6428	1316
830	6432	1308
831	6439	1300
832	6444	1291
833	6448	1283
834	6456	1275
835	6462	1267
836	6467	1259
837	6471	1251
838	6477	1242
839	6482	1234
840	6488	1226
841	6493	1218
842	6497	1210
843	6501	1201
844	6505	1193
845	6509	1184
846	6514	1176
847	6518	1168
848	6521	1159
849	6525	1151
850	6530	1143
851	6534	1135
852	6538	1126
853	6541	1118
854	6546	1110
855	6551	1102
856	6556	1093
857	6560	1085
858	6567	1077
859	6572	1069
860	6578	1061
861	6583	1054
862	6590	1046
863	6598	1038
864	6604	1030
865	6611	1022
866	6617	1015
867	6621	1006
868	6629	999
869	6635	991
870	6639	983
871	6648	975
872	6652	967
873	6662	960
874	6667	952
875	6673	944
876	6680	936
877	6684	928
878	6692	921
879	6698	913
880	6704	905
881	6709	897
882	6713	889
883	6716	881
884	6722	873
885	6727	865
886	6732	857
887	6740	850
888	6745	842
889	6749	834
890	6756	826
891	6761	818
892	6766	810
893	6771	802
894	6777	795
895	6782	787
896	6788	779
897	6795	771
898	6803	764
899	6809	756
900	6815	748
901	6823	741
902	6827	733
903	6835	725
904	6840	718
905	6847	710
906	6853	702
907	6859	695
908	6865	687
909	6870	679
910	6874	671
911	6881	663
912	6887	656
913	6892	648
914	6899	640
915	6906	633
916	6912	625
917	6918	617
918	6922	610
919	6929	602
920	6937	595
921	6941	587
922	6948	579
923	6953	571
924	6959	564
925	6964	556
926	6968	548
927	6973	541
928	6980	533
929	6984	525
930	6989	517
931	6996	510
932	7001	502
933	7006	495
934	7011	487
935	7015	479
936	7020	472
937	7026	464
938	7031	456
939	7035	449
940	7039	441
941	7044	433
942	7048	426
943	7053	418
944	7058	410
945	7062	403
946	7067	395
947	7072	387
948	7077	380
949	7082	372
950	7089	365
951	7093	357
952	7098	350
953	7104	342
954	7108	334
955	7113	327
956	7119	319
957	7123	312
958	7128	304
959	7134	297
960	7139	289
961	7143	282
962	7148	274
963	7153	267
964	7157	259
965	7163	252
966	7168	244
967	7173	237
968	7177	229
969	7182	222
970	7186	214
971	7190	207
972	7195	199
973	7200	192
974	7204	184
975	7209	177
976	7214	169
977	7218	162
978	7223	154
979	7229	147
980	7233	140
981	7238	132
982	7242	125
983	7247	117
984	7251	110
985	7256	103
986	7260	95
987	7265	88
988	7269	80
989	7273	73
990	7278	66
991	7282	58
992	7286	51
993	7291	44
994	7296	36
995	7301	29
996	7319	22
997	7325	14
998	7331	7
999	7337	0
