iter	Logloss
235	0.3767616298
236	0.3765539423
237	0.3761450049
238	0.3758048052
239	0.3755871574
240	0.3754319879
241	0.3752070628
242	0.3749282547
243	0.3746935397
244	0.3744262945
245	0.3742163493
246	0.3740361325
247	0.3737894599
248	0.3735448085
249	0.3734068868
250	0.3731950044
251	0.3730937991
252	0.3729350429
253	0.372726938
254	0.3725038256
255	0.3723285566
256	0.3722121059
257	0.372074055
258	0.3719194768
259	0.3716614325
260	0.3716096647
261	0.371334383
262	0.3711320849
263	0.3708336501
264	0.3705789458
265	0.3704825748
266	0.3703884438
267	0.3702685077
268	0.3700856426
269	0.3699570521
270	0.3697068949
271	0.3695024687
272	0.3692651233
273	0.3690035833
274	0.36875181
275	0.3684943149
276	0.3684032572
277	0.3682306315
278	0.3680594356
279	0.3679870818
280	0.367825689
281	0.3676344254
282	0.3673924176
283	0.3672092803
284	0.3670121236
285	0.366897713
286	0.366545935
287	0.366078686
288	0.3658480282
289	0.3657208926
290	0.3656491614
291	0.36563648
292	0.3655206533
293	0.3654502761
294	0.3653528558
295	0.3651428503
296	0.3650678038
297	0.3647812248
298	0.3646273508
299	0.3644751574
300	0.3643584318
301	0.3642241147
302	0.3641722505
303	0.364078665
304	0.3639770568
305	0.3636121019
306	0.3635847401
307	0.36322028
308	0.3630460465
309	0.3628639602
310	0.3626599906
311	0.3626233696
312	0.3624251775
313	0.3623245745
314	0.362202018
315	0.3620236332
316	0.361680354
317	0.3614868406
318	0.3612260169
319	0.3610085088
320	0.3609060522
321	0.3608024356
322	0.3606241291
323	0.3603626689
324	0.3601720647
325	0.3601018177
326	0.3598905586
327	0.3597236011
328	0.3596370052
329	0.3595887398
330	0.359401015
331	0.3592361606
332	0.3591587548
333	0.3590473786
334	0.3589611184
335	0.3588058966
336	0.3587576053
337	0.3585887429
338	0.3584813448
339	0.3583479882
340	0.3581130469
341	0.3579770388
342	0.357892616
343	0.3578183335
344	0.357682807
345	0.3574563566
346	0.35737332
347	0.3570843691
348	0.3568349861
349	0.3567263276
350	0.3563956465
351	0.3563798736
352	0.3562329942
353	0.3561589786
354	0.3559965549
355	0.3557978274
356	0.3557083282
357	0.3555679874
358	0.3552894665
359	0.3551085781
360	0.3549230455
361	0.3548653744
362	0.3546891532
363	0.3545170603
364	0.3543547273
365	0.3541432226
366	0.3538545795
367	0.3537039776
368	0.353590154
369	0.353549471
370	0.3533845096
371	0.3533428221
372	0.3533075587
373	0.3532170345
374	0.3531318095
375	0.3530708308
376	0.352667228
377	0.3525516871
378	0.3523903225
379	0.3522700597
380	0.3522411775
381	0.3520999652
382	0.3519792086
383	0.3518642378
384	0.3518379375
385	0.3517634286
386	0.3517072724
387	0.3516026923
388	0.351507778
389	0.3512498714
390	0.351225461
391	0.35106647
392	0.3508893886
393	0.3507531051
394	0.3506363208
395	0.350618428
396	0.3505358845
397	0.3504792979
398	0.3503429558
399	0.3501584919
400	0.3501034182
401	0.3499553679
402	0.349935667
403	0.3498424128
404	0.3497345803
405	0.3495509786
406	0.3494413133
407	0.3494287205
408	0.3492889117
409	0.3492165836
410	0.3491192342
411	0.34910664
412	0.3490187546
413	0.3489997572
414	0.3489456818
415	0.3488950331
416	0.3488468666
417	0.3487183858
418	0.3484988523
419	0.3482950485
420	0.3482438694
421	0.3481502677
422	0.3478625229
423	0.3476509411
424	0.3476229515
425	0.3474170004
426	0.3473424779
427	0.3472863579
428	0.347108809
429	0.3469321647
430	0.346870018
431	0.3468025966
432	0.3466511047
433	0.3465909515
434	0.3465182507
435	0.3464439279
436	0.3463016619
437	0.346162797
438	0.3459096312
439	0.3456467662
440	0.3454315929
441	0.345408242
442	0.345333546
443	0.3453180438
444	0.3452735457
445	0.3451150017
446	0.3450289519
447	0.3448130208
448	0.3447155343
449	0.3446165997
450	0.3444772034
451	0.3442066423
452	0.3441535383
453	0.3440622424
454	0.3439518687
455	0.3438331994
456	0.3436497337
457	0.343525187
458	0.3433715918
459	0.3431933034
460	0.343075307
461	0.3429857313
462	0.3427222635
463	0.3425858093
464	0.3425077638
465	0.3424276483
466	0.3422945751
467	0.3422544811
468	0.3421983375
469	0.3421007941
470	0.3419910151
471	0.3418744517
472	0.3417846094
473	0.3416801755
474	0.3416137948
475	0.3415393865
476	0.3414464369
477	0.3414202325
478	0.3413619254
479	0.3411337353
480	0.3411112934
481	0.340914456
482	0.3408250228
483	0.3406904176
484	0.3405437557
485	0.3404934028
486	0.3403747935
487	0.3402776982
488	0.3402285209
489	0.34013824
490	0.3400529282
491	0.3399570335
492	0.3398633741
493	0.3396577299
494	0.3394676513
495	0.3393822265
496	0.3393675614
497	0.3393054386
498	0.3391782019
499	0.3390753279
500	0.338833717
501	0.3388048441
502	0.3387175556
503	0.3386523814
504	0.338556914
505	0.3385006486
506	0.3384234432
507	0.3384203752
508	0.3383179026
509	0.3381605659
510	0.3380428532
511	0.3379928391
512	0.337992742
513	0.3378497576
514	0.3376909694
515	0.3375890527
516	0.3374882129
517	0.3373996224
518	0.3371650632
519	0.3371198396
520	0.336930751
521	0.336731276
522	0.3366205655
523	0.3364742141
524	0.3362959561
525	0.3362843289
526	0.3361452193
527	0.3360983021
528	0.3360005776
529	0.3357322845
530	0.3356622835
531	0.3355310229
532	0.3354774185
533	0.3352799986
534	0.335091044
535	0.3350164186
536	0.3349073436
537	0.3347961735
538	0.3347400653
539	0.3346354264
540	0.334472559
541	0.334354845
542	0.3342219579
543	0.3340910943
544	0.3340153699
545	0.3339543567
546	0.3338960404
547	0.3337770653
548	0.3336482457
549	0.3335411001
550	0.3334850884
551	0.3334226019
552	0.3332741088
553	0.3332145057
554	0.3329773228
555	0.3327451322
556	0.3326863658
557	0.3325590459
558	0.3324745479
559	0.332463665
560	0.3322773998
561	0.3321098047
562	0.332080539
563	0.3319643799
564	0.3319120094
565	0.3318126502
566	0.3316602571
567	0.331577685
568	0.3315376743
569	0.3314562309
570	0.3313595038
571	0.3311782397
572	0.3310802613
573	0.3310460339
574	0.3309775556
575	0.3309599771
576	0.3308857049
577	0.3308288147
578	0.3307603851
579	0.3306720032
580	0.3305245221
581	0.3304712385
582	0.3302973536
583	0.3302824785
584	0.3301976319
585	0.3301658054
586	0.3299570677
587	0.3298894339
588	0.3296451994
589	0.3295779433
590	0.3294708436
591	0.329364324
592	0.3293373866
593	0.3291399788
594	0.3289535155
595	0.3288350038
596	0.328777248
597	0.3287566385
598	0.3286459352
599	0.3285964924
600	0.3284302439
601	0.3284083602
602	0.3282659456
603	0.3280595949
604	0.3280160378
605	0.3277875162
606	0.3277376026
607	0.3276924638
608	0.3274399035
609	0.3273920571
610	0.3273441975
611	0.3273074141
612	0.3270070865
613	0.3269172657
614	0.3266549752
615	0.3265943765
616	0.3264530381
617	0.3262839714
618	0.3260386401
619	0.325998115
620	0.3257935269
621	0.3256051556
622	0.3255596771
623	0.3254918727
624	0.325393559
625	0.3251920952
626	0.3250973709
627	0.3249329001
628	0.3248769697
629	0.3248554113
630	0.3248196511
631	0.3247552064
632	0.3247324089
633	0.3246900191
634	0.3246526218
635	0.3245954929
636	0.3245678597
637	0.3244444503
638	0.324413491
639	0.3242908593
640	0.3240428028
641	0.3239292075
642	0.3238873773
643	0.3236315319
644	0.3234982329
645	0.3233861995
646	0.3233376229
647	0.323264841
648	0.3232256008
649	0.3231393421
650	0.323046623
651	0.3230161348
652	0.3229605487
653	0.3229467141
654	0.3228862039
655	0.3228561315
656	0.3228105439
657	0.3226441303
658	0.3226159998
659	0.3224100563
660	0.3222639666
661	0.3220639066
662	0.3220434525
663	0.3219805303
664	0.3217868525
665	0.3217244999
666	0.3216818894
667	0.3215367744
668	0.3215072105
669	0.3214616768
670	0.3212553181
671	0.3209617213
672	0.3209288195
673	0.3208895308
674	0.3208162978
675	0.3207776277
676	0.3206645508
677	0.3205280021
678	0.3203732662
679	0.3203611545
680	0.3202548318
681	0.3201727672
682	0.3199334965
683	0.3199262372
684	0.3198517614
685	0.3197743798
686	0.3195472439
687	0.319349784
688	0.3192138856
689	0.318996501
690	0.3189522912
691	0.3189459074
692	0.3188213402
693	0.3187465017
694	0.3186463514
695	0.3185984449
696	0.3184954889
697	0.3182654475
698	0.3182363124
699	0.3181587096
700	0.3180860136
701	0.3179212154
702	0.3178265143
703	0.3177540201
704	0.3177060416
705	0.3176402936
706	0.3175632392
707	0.3175029397
708	0.3172906849
709	0.3172544026
710	0.3172500898
711	0.3170880107
712	0.3169214745
713	0.3168218442
714	0.3165973464
715	0.3163846011
716	0.3163351332
717	0.3161077151
718	0.3159313154
719	0.3155922281
720	0.3154611056
721	0.3154119988
722	0.3153623923
723	0.31515069
724	0.3149514084
725	0.3149456521
726	0.3148904199
727	0.3147511579
728	0.314695719
729	0.3145335287
730	0.3143899068
731	0.3142373306
732	0.3141474074
733	0.3140133651
734	0.3138780654
735	0.3138366335
736	0.313790074
737	0.3137744508
738	0.3137275225
739	0.3136223505
740	0.3134746785
741	0.3133083504
742	0.3130886328
743	0.3129819051
744	0.3128488951
745	0.3128343148
746	0.3127226678
747	0.3127048941
748	0.3126873471
749	0.3125876794
750	0.3125318431
751	0.3125257816
752	0.3124763412
753	0.3123375771
754	0.3122700684
755	0.312108012
756	0.3120589518
757	0.3119859396
758	0.311894248
759	0.3118374946
760	0.3117519738
761	0.3116450857
762	0.311538963
763	0.3114615528
764	0.3113602125
765	0.3112822605
766	0.3112282745
767	0.3111884937
768	0.311149615
769	0.3109822768
770	0.3109222389
771	0.3108317503
772	0.3107800818
773	0.3105477585
774	0.3105179722
775	0.3104106584
776	0.310377421
777	0.3103178627
778	0.3100789027
779	0.3100693089
780	0.3099850853
781	0.309907838
782	0.3098299364
783	0.3097780614
784	0.3095303373
785	0.3094981324
786	0.3094440844
787	0.3092372196
788	0.3092084428
789	0.3090010818
790	0.3089416891
791	0.3087655999
792	0.3087176434
793	0.3086499265
794	0.3085668387
795	0.3084674216
796	0.308264063
797	0.308153072
798	0.3079867165
799	0.3079304073
800	0.3077866578
801	0.3077559175
802	0.3075374996
803	0.3074670821
804	0.3072701163
805	0.3071859107
806	0.3070820423
807	0.3069234561
808	0.3066529091
809	0.3064129805
810	0.30637015
811	0.3062030961
812	0.3061352516
813	0.3061056965
814	0.3060244609
815	0.3057744311
816	0.3057333204
817	0.3056947704
818	0.3056859722
819	0.3056654776
820	0.3055384974
821	0.3054246266
822	0.3053402575
823	0.3051274727
824	0.3048707882
825	0.3047677579
826	0.3047039673
827	0.304509067
828	0.3044533169
829	0.3043908999
830	0.3043378648
831	0.3042450936
832	0.304225778
833	0.3041678156
834	0.3041046253
835	0.3040119712
836	0.3039522788
837	0.3039477253
838	0.3038248514
839	0.30375569
840	0.3035975507
841	0.3035454763
842	0.3033940867
843	0.303140308
844	0.3031272935
845	0.3029364194
846	0.3028080832
847	0.3027378761
848	0.3026979232
849	0.3025302496
850	0.3024018562
851	0.3023186051
852	0.3022263025
853	0.3021660238
854	0.3020328518
855	0.301951102
856	0.3017656386
857	0.3017151235
858	0.3016019472
859	0.3014553812
860	0.3013742248
861	0.3010584397
862	0.3010165839
863	0.3009098212
864	0.3008102071
865	0.300609093
866	0.300567652
867	0.3002959453
868	0.3001784329
869	0.3001402318
870	0.3000362206
871	0.2997963985
872	0.2995175037
873	0.299449279
874	0.2993170389
875	0.2992124519
876	0.2991391923
877	0.2990508947
878	0.2988470304
879	0.2986786931
880	0.2986465357
881	0.2985764027
882	0.2985321658
883	0.2985046097
884	0.2984021931
885	0.2983435084
886	0.298312366
887	0.2982284782
888	0.2981312514
889	0.2981161504
890	0.2980681252
891	0.2979944585
892	0.2979510785
893	0.2978858204
894	0.2977688995
895	0.2975811001
896	0.2975270832
897	0.297469266
898	0.2974133693
899	0.2971425508
900	0.2970287288
901	0.2969446014
902	0.2969069744
903	0.2968597215
904	0.2966972372
905	0.2966180329
906	0.2965308657
907	0.2964200317
908	0.296379965
909	0.2961699286
910	0.2959892101
911	0.2959393183
912	0.2958943679
913	0.2958042065
914	0.295550735
915	0.2952764909
916	0.2950871011
917	0.2950403214
918	0.2950038521
919	0.2949179946
920	0.2947899866
921	0.2945719022
922	0.2942454042
923	0.294165103
924	0.2941057115
925	0.2940531858
926	0.2939477424
927	0.2936830384
928	0.2934815524
929	0.2934209616
930	0.2933889074
931	0.2931280468
932	0.2930942605
933	0.293006738
934	0.2929271367
935	0.2927567515
936	0.2926945886
937	0.2926281753
938	0.2925565377
939	0.2925101088
940	0.2925058928
941	0.2924657139
942	0.2923739212
943	0.2922846658
944	0.2922157239
945	0.2921719067
946	0.2921146887
947	0.2919929442
948	0.29184296
949	0.291752207
950	0.2915858113
951	0.2915335582
952	0.2914472493
953	0.2914135551
954	0.2913673467
955	0.2913300902
956	0.2910762116
957	0.2909532088
958	0.2907720492
959	0.2907364069
960	0.2907026396
961	0.290634534
962	0.2905476396
963	0.2904315486
964	0.2903095517
965	0.2901111649
966	0.2898998195
967	0.2897037531
968	0.2896512523
969	0.2896006315
970	0.28956372
971	0.2895420209
972	0.2894837172
973	0.2892195284
974	0.2890291372
975	0.2888407501
976	0.2887376488
977	0.2887181835
978	0.288679117
979	0.2885773124
980	0.2884310147
981	0.288280725
982	0.2882379107
983	0.2882247279
984	0.2881484438
985	0.288096904
986	0.2880722098
987	0.2880182597
988	0.2879491893
989	0.2879430708
990	0.2876985463
991	0.287672452
992	0.2875763787
993	0.2875272255
994	0.2874632603
995	0.2873154373
996	0.287046499
997	0.2867493445
998	0.2866710174
999	0.2866124703
